er_visits,air_quality,asbestos,electrical,food,garbage,mold,rodent,smoking,felonies,misdemeanors,violations
1042,61,18,609,91,5576,2,620,34,1904,2471,1079
1301,61,18,416,135,3677,2,920,110,2013,2962,1243
1085,76,18,534,127,4641,4,978,24,2125,2930,1352
1148,74,12,535,81,3552,1,624,39,1945,2731,1231
117,23,1,54,48,1094,0,105,11,622,736,150
138,34,2,59,58,881,0,194,11,544,796,176
101,31,1,82,71,1010,1,215,10,609,720,180
126,37,5,96,52,733,0,108,8,479,719,169
273,12,8,163,63,2516,0,147,31,1104,1591,463
295,32,9,110,92,1586,2,209,23,1167,1710,557
296,44,2,137,130,2165,2,220,21,1364,2048,595
313,25,6,128,77,1789,3,143,28,1163,1628,564
338,22,1,151,30,2256,1,89,7,883,1183,447
391,16,1,114,45,1307,0,134,5,822,1339,507
287,17,1,81,56,1457,0,141,8,989,1486,531
379,15,7,122,39,1427,2,75,12,904,1522,487
127,15,5,72,136,2873,0,87,16,851,1273,335
176,20,7,58,165,1241,0,153,29,964,1379,368
158,42,6,86,299,1626,1,158,14,1040,1256,383
181,25,5,82,191,1308,3,129,22,1056,1242,353
22,9,0,25,18,1420,0,14,6,291,271,94
18,25,8,9,23,424,0,22,3,296,319,114
17,11,2,23,12,499,1,54,6,364,304,116
33,19,4,19,31,500,0,30,11,371,341,93
93,347,4,43,28,1177,1,26,13,264,370,136
95,416,2,32,21,668,0,59,13,269,417,150
99,284,3,86,17,836,0,50,16,277,447,165
111,506,1,50,23,585,0,23,15,326,463,164
375,50,12,142,160,3311,0,237,40,1711,2700,728
417,77,10,128,174,2105,0,411,11,1906,3167,849
329,82,12,214,218,2330,6,397,21,2203,3268,835
384,75,10,150,193,2296,0,240,34,1948,3192,769
134,84,15,83,73,2985,3,211,27,659,1240,295
171,90,16,91,85,1297,1,318,15,799,1264,370
174,70,11,145,122,1572,2,453,7,783,1319,362
222,68,9,125,90,1660,0,282,16,681,1311,271
447,29,4,195,77,3904,0,152,12,1584,2190,613
523,34,10,127,118,2758,1,242,10,1748,2541,720
457,38,14,216,89,3335,2,247,8,1877,2689,759
564,32,10,226,70,2710,1,131,20,1561,2635,657
243,26,3,171,72,3719,3,125,12,1040,1531,477
288,48,11,148,86,1841,1,204,11,1099,1830,630
260,48,13,184,109,2162,2,226,6,1180,1876,588
325,26,8,194,82,2085,0,131,13,1064,1636,560
306,23,7,120,14,1356,0,47,3,453,684,351
363,21,18,77,22,917,2,49,4,546,934,432
309,13,3,141,38,1120,0,70,5,589,912,441
569,6,3,154,16,1008,2,37,7,435,786,371
